Frequency (Flex) (Hz),Current (Flex) (A),Voltage (Flex) (V),Status (Flex) ,RPM (Flex),Power (Flex) (kW),Average Power (Flex) (kW),Driver Temperature (Flex) (C),P1 rev (IFM) (rpm),P2 v_rms (IFM) (m/s),a_peak (IFM) (m/s^2) ,a_rms (IFM) (m/s^2),Temp (IFM) (C),Crest (IFM) , P3 v_rms (IFM) (m/s),a_peak (IFM) (m/s^2),a_rms (IFM) (m/s^2),Temp (IFM) (C),Crest (IFM),P4 Amp (IFM) (mA)
3,30.08,0.4,112.3,902,0.06,0.0,25,1732,0.0028,2.9,1.1,26.0,2.6,0.005,4.7,1.6,25.9,2.9,4.11
3,30.07,0.4,112.1,902,0.06,0.0,25,1736,0.0028,2.8,1.1,26.0,2.6,0.0049,5.2,1.6,25.9,3.2,4.11
3,30.11,0.4,112.3,903,0.06,0.0,25,1732,0.0028,2.9,1.1,26.0,2.6,0.0049,4.8,1.6,25.9,2.9,4.1
3,30.06,0.4,112.1,901,0.06,0.0,25,1732,0.0028,3.0,1.1,26.0,2.6,0.0049,4.6,1.6,25.9,2.8,4.11
3,30.12,0.4,112.3,903,0.06,0.0,25,1732,0.0028,2.9,1.1,26.0,2.6,0.005,5.0,1.6,25.9,3.1,4.11
3,30.1,0.4,112.3,903,0.06,0.0,25,1734,0.0028,3.0,1.1,26.0,2.7,0.005,4.9,1.6,25.9,3.0,4.1
3,30.0,0.4,111.8,900,0.06,0.0,25,1736,0.0028,3.0,1.1,26.0,2.6,0.0049,4.8,1.6,25.9,3.0,4.11
3,30.14,0.4,112.4,903,0.06,0.0,25,1736,0.0028,2.9,1.1,26.0,2.7,0.0049,4.9,1.6,25.9,3.0,4.11
3,30.04,0.4,112.0,900,0.06,0.0,25,1734,0.0028,3.1,1.1,26.0,2.9,0.005,5.0,1.6,25.9,3.1,4.11
3,30.06,0.4,112.1,901,0.06,0.0,25,1736,0.0027,3.0,1.1,26.0,2.8,0.0049,5.1,1.6,25.9,3.1,4.1
3,30.09,0.4,112.2,903,0.06,0.0,25,1738,0.0028,2.9,1.1,26.0,2.7,0.0049,4.9,1.6,25.9,3.0,4.1
3,30.06,0.4,112.0,901,0.06,0.0,25,1734,0.0027,2.7,1.1,26.0,2.5,0.005,4.9,1.6,25.9,3.0,4.1
3,30.0,0.4,111.9,900,0.06,0.0,25,1732,0.0028,3.0,1.1,26.0,2.7,0.005,4.9,1.6,25.9,3.0,4.1
3,30.05,0.4,112.1,901,0.06,0.0,25,1734,0.0028,2.9,1.1,26.0,2.6,0.005,4.6,1.6,25.9,2.8,4.1
11,30.07,0.4,112.0,901,0.06,0.0,25,1734,0.0028,3.3,1.1,26.0,2.9,0.005,4.9,1.6,25.9,3.0,4.1
3,30.05,0.4,112.1,901,0.06,0.0,25,1734,0.0028,2.9,1.1,26.0,2.7,0.005,4.7,1.6,25.9,2.9,4.1
11,30.04,0.4,112.0,900,0.05,0.0,25,1738,0.0027,2.9,1.1,26.0,2.6,0.0049,4.8,1.6,25.9,2.9,4.1
3,30.07,0.4,112.1,902,0.06,0.0,25,1740,0.0028,3.1,1.1,26.0,2.8,0.0049,5.3,1.6,25.9,3.2,4.11
3,30.11,0.4,112.3,903,0.06,0.0,25,1732,0.0028,3.0,1.1,26.0,2.7,0.0051,4.9,1.6,25.9,3.0,4.1
3,30.0,0.4,111.8,900,0.06,0.0,25,1738,0.0027,2.9,1.1,26.0,2.7,0.0049,4.6,1.6,25.9,2.9,4.1
